64621.259,,,"COGENS CHECK: filosofie: cogens vervullen eigen e-behoefte en exporteren elektric naar grid",,,,,,,
"Current grids",,,,,,,,"COGENS",,
,,,,,,,,"C4",,
"A","380 kV electricity grid TenneT",,,,,,,"C14",,
"B","150 kV electricity grid TenneT",,,,,,,"C15",,
"C","66/23/20/10 kV grid Stedin",,,,,,,"C23",,
"D","Natural gas grid GTS",,,,,,,"C29","enecal, voedt meteen in op substation TenneT150",
"E","H2 grid Air Products",,,,,,,"C30","eurogen, voedt meteen in op substation TenneT150",
"F","H2 grid Air Liquide","gtsgrid1a","gtsgrid2b",,,,,"C36","Air Products WKC, voedt meteen in op TenneT150",
"G","Steam grid Uniper (Maasvlakte)","gtsgrid1b","gtsgrid2c",,,,,"C37",,
"H","Steam grid Air Liquide (Botlek)",,"gtsgrid2d",,,,,"C44","Cogen Nouryon voedt brine electrolyzer (C46) Nouryon",
"I","Steam grid Stedin (Botlek)",,,,,,,"C52","Cogen voedt alleen aan Exxon ref",
"J","Heat grid (warmte alliantie)",,,,,,,"C63","Pergen voedt Shell, overschot aan TenneT",
,,,,,,,,"C64","Pergen voedt Shell, overschot aan TenneT",
,,,,,,,,,,
,,,,,,,,,,
"Line ID unique [string]","From – conversion asset – unique [sting] (Market/Environment  are also possible)","To – conversion asset – unique [sting]","Feedstock carried","Maximum capacity link [MW]","Owner","CAPEX","Status","Linelengths_km","demand/production","InvestID_electricity"
"StedinMVd1InternalElectricity","StedinMV","D1","Electricity",13,"Stedin","UNDEF","Existing",100000,0,
"c1d1InternalSteam","C1","D1","Steam",9,"Bungeloderscroklaan","UNDEF","Existing",100000,0,
"StedinMVd2InternalElectricity","StedinMV","D2","Electricity",13,"Stedin","UNDEF","Existing",100000,0,
"MV_Steam1d2InternalSteam","MV_Steam1","D2","Steam",20,"Neste","UNDEF","Existing",100000,0,
"MV_AirliquideH2d2InternalH2","AirliquideH2_1","D2","H2",149,"Neste","UNDEF","Existing",100000,0,
"StedinMVd3InternalElectricity","StedinMV","D3","Electricity",13,"Stedin","UNDEF","Existing",100000,0,
"MV_Steam1d3InternalSteam","MV_Steam1","D3","Steam",285,"Lyondellcovestro","UNDEF","Existing",100000,0,
"c2d3InternalSteam","C2","D3","Steam",8,"Lyondellcovestro","UNDEF","Existing",100000,0,
"GTS1bc1InternalGas","GTS1b","C1","Natgas",11,"GTS","UNDEF","Existing",100000,0,
"GTS1bc2InternalGas","GTS1b","C2","Natgas",9,"GTS","UNDEF","Existing",100000,0,
"GTS1bc4InternalGas","GTS1b","C4","Natgas",160,"GTS","UNDEF","Existing",100000,0,
"c4MV_Steam2InternalSteam","C4","MV_Steam2","Steam",153,"Uniper","UNDEF","Existing",100000,0,
"GTS1bc5InternalGas","GTS1b","C5","Natgas",160,"GTS","UNDEF","Existing",100000,0,
"c5MV_Steam2InternalSteam","C5","MV_Steam2","Steam",153,"Uniper","UNDEF","Existing",100000,0,
"MV_Steamgrid","MV_Steam1","MV_Steam2","Steam",320,"Uniper","UNDEF","Existing",100000,0,
"GTSgrid1a","GTS1b","GTS1a","Natgas",20000,"GTS","UNDEF","Existing",100000,0,
"Airliquidegrid1","AirliquideH2_2","AirliquideH2_1","H2",1000,"Airliquide","UNDEF","Existing",100000,0,
"c7d4InternalHtheat","C7","D4","Htheat",120,"BP","UNDEF","Existing",100000,0,
"c8d4InternalHtheat","C8","D4","Htheat",453,"BP","UNDEF","Existing",100000,0,
"c9d4InternalHtheat","C9","D4","Htheat",130,"BP","UNDEF","Existing",100000,0,
"c10d4InternalSteam","C10","D4","Steam",74,"BP","UNDEF","Existing",100000,0,
"c11d4InternalSteam","C11","D4","Steam",278,"BP","UNDEF","Existing",100000,0,
"c12d4InternalSteam","C12","D4","Steam",79,"BP","UNDEF","Existing",100000,0,
"c14d5InternalElectricity","C14","D5","Electricity",35,"Indorama","UNDEF","Existing",100000,0,
"c14StedinEurInternalElectricity","C14","StedinEur","Electricity",35,"Stedin","UNDEF","Existing",100000,0,
"c14d5InternalSteam","C14","D5","Steam",40000,"Indorama","UNDEF","Existing",100000,0,
"c15StedinEurInternalElectricity","C15","StedinEur","Electricity",27,"Stedin","UNDEF","Existing",100000,0,
"c15d6InternalElectricity","C15","D6","Electricity",27,"ADM","UNDEF","Existing",100000,0,
"c15d6InternalSteam","C15","D6","Steam",40000,"ADM","UNDEF","Existing",100000,0,
"GTS2cc7InternalGas","GTS2c","C7","Natgas",188,"GTS","UNDEF","Existing",100000,0,
"Petcokessupplyc9InternalPetcokes","Petcokessupply","C9","Petcokes",203,"BP","UNDEF","Existing",100000,0,
"Petcokessupplyc12InternalPetcokes","Petcokessupply","C12","Petcokes",116,"BP","UNDEF","Existing",100000,0,
"GTS2cc10InternalGas","GTS2c","C10","Natgas",109,"GTS","UNDEF","Existing",100000,0,
"GTS1cc13internalGas","GTS1c","C13","Natgas",1844,"GTS","UNDEF","Existing",100000,0,
"GTS2cc14internalGas","GTS2c","C14","Natgas",114,"GTS","UNDEF","Existing",100000,0,
"GTS2cc15internalGas","GTS2c","C15","Natgas",88,"GTS","UNDEF","Existing",100000,0,
"GTS2cc16internalGas","GTS2c","C16","Natgas",29,"GTS","UNDEF","Existing",100000,0,
"GTSgrid1c","GTS1d","GTS1c","Natgas",20000,"GTS","UNDEF","Existing",100000,0,
"GTSgrid1b","GTS1c","GTS1b","Natgas",20000,"GTS","UNDEF","Existing",100000,0,
