,,"Data input for Windmaster project: current situation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Utility and H2 production profile per asset",,,,,,,,,,,,"Meuro","km",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,200,70.00,,,,,,,,,,,,,,,,,,,,,,
,,"Location area: is the cluster the asset has been located: Maasvlakte (MV), Europoort 1 (Eur1), Europoort 2 (Eur2), Europoort 3 (Eur3), Botlek 1 (Bot1), Botlek2 (Bot2), Pernis (Per)",,,,,,,,,,,,239.285714285714,83.75,,,,,,,,,,,,,,,,,,,,,,
,,"Asset type: conversion type, e.g. coal fired power plant, gas fired power plant, natgas fired cogen etc.",,,,,,,,,"Check capacities connections",,,105.714285714286,37.00,,,,,,,,,,,,,,,,,,,,,,
,,"Feedstock: energy input for conversion asset. E.g. natgas, refinery gas, coal etc.",,,,,,,,,"CHECK C conversion assets for utilization",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,"Assumption: standard 25% overcapacity in transportcapacity per connection",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Electricity, steam, HT heat and H2 can be supplied to: 1) on site demand, 2) grids",,,,,,,,,"Assumption: standard 30% electricity consumption reduction in case heat pump is applied in combination with electric boiler (E_boiler_small option)",,,,,,,,,,,,,,,,,,,,,,,,,,
,,"Electricity, steam, HT heat, H2  supply code","Meaning",,,,,,,,"Assumption (current): TenneT150kVstation capacity=1000MW, TenneT380kVstation capacity=2000MW",,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,"not applicable",,,,,,,,"Assumption (current): Stedin/Shell/Huntsman substation capacity=150 MW",,,,,,,,,,,,,,,,,,,,,,,,,,
,,1,"on site",,,,256,,,,"Assumption: APgrid1capacity = APgrid2 capacity= APgrid3 capacity: 100 MW_H2",,,,,,,,,,,,,,,,,,,,,,,,,,
,,2,"on site + to grid",,,,,,,,"Assumption: ALgrid1capacity = ALgrid2 capacity= ALgrid3 capacity = ALgrid4capacity: 500 MW_H2",,,,,,,,,,,,,,,,,,,,,,,,,,
,,3,"to grid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
