InvestID,CAPEX_Meuro,Leadtimereactive_year,Leadtimecurrent_year,Leadtimeproactive_year,Leadtimecollaborative_year,Owner,Investtype,Capacityinvestmentbuildingblock_MW,Opmerking,,
GTSgrid1H2,11,3,3,2,2,GTS,Reuse,20,,,
GTSgrid2H2,4,2,2,2,2,GTS,Reuse,4,,,
GTSgrid3H2,1,2,2,2,2,GTS,Reuse,4,,,
GTSgrid3proactH2,2,0,0,3,2,GTS,Reuse,4,,,
NewH2grid1a,9,4,3,2,2,Infraparties,Newgasbackbone,20,,,
NewH2grid1b,43,5,4,3,2,Infraparties,Newgasbackbone,20,,,
NewH2grid1c,29,5,4,3,2,Infraparties,Newgasbackbone,20,,,
NewH2grid1d,120,6,5,4,3,Infraparties,Newgasbackbone,20,,,
NewH2grid2,200,8,7,6,4,Infraparties,Newgasbackbone,20,"20 GW, 70 km leiding (van westzijde Maasvlakte tm Wijngaarden",,
NewH2grid3,350,0,0,8,5,TenneT,Newgasbackbone,40,"40 GW, 70 km leiding (van westzijde Maasvlakte tm Wijngaarden",,
380kVbayTenneT_gen,3,3,3,3,3,TenneT,380kVbay,1600,,1,"1,5"
380kVbayTenneT_line,3,3,3,3,3,TenneT,380kVbay,1600,,1,"1,5"
380kVbayTenneT_trans,3,3,3,3,3,TenneT,380kVbay,500,,1,"1,5"
380kVbayTenneT_cust,3,3,3,3,3,TenneT,380kVbay,1600,,1,"1,5"
380kV_station,50,6,5,4,3,TenneT,380kVstation,29800,additionele capaciteit is som van individuele veldcapaciteiten van standaard station,10,10
380kVgrid1,245,13,10,8,6,TenneT,380kVline,880,,"24,5","12,25"
380kVgrid2,90,13,10,8,6,TenneT,380kVline,880,,9,"4,5"
380kVgrid3,290,13,10,8,6,TenneT,380kVline,880,,29,"14,5"
380kVgrid4,115,13,10,8,6,TenneT,380kVline,880,,"11,5","5,75"
150kVbayTenneT_gen,2,2,2,2,2,TenneT,150kVbay,300,,1,"2,5"
150kVbayTenneT_line,2,2,2,2,2,TenneT,150kVbay,200,,1,"2,5"
150kVbayTenneT_trans,2,2,2,2,2,TenneT,150kVbay,300,,1,"2,5"
150kVbayTenneT_cust,2,2,2,2,2,TenneT,150kVbay,300,,1,"2,5"
150kV_station,30,4,3,2,2,TenneT,150kVstation,3100,additionele capaciteit is som van individuele veldcapaciteiten van standaard station,10,10
150kVgrid4,36,7,5,4,3,TenneT,150kVline,110,,"7,2","7,2"
150kVgrid5,54,7,5,4,3,TenneT,150kVline,110,,"10,8","10,8"
150kVgrid6,12,7,5,4,3,TenneT,150kVline,110,,"2,4","2,4"
150kVgrid7,12,7,5,4,3,TenneT,150kVline,110,,"2,4","2,4"
150kVgrid8,21,7,5,4,3,TenneT,150kVline,110,,"4,2","4,2"
150kVgrid9,30,7,5,4,3,TenneT,150kVline,110,,6,6
150kVgrid10,39,7,5,4,3,TenneT,150kVline,110,,"7,8","7,8"
Station_Stedin_extension,5,5,4,3,2,Stedin,Stedinsubstation,80,,,
SwitchStedinTenneT,0,2,2,2,2,Stedin,Customerswitch,,,,
SwitchTennet150TenneT380,0,2,2,2,2,TenneT,Customerswitch,,,,
